LeafSize,StemThickness,BlossomSize,HealthStatus
2.137415765,-1.641708779,-1.814656732,Diseased
-3.490362,-0.306891771,-0.526959116,Healthy
2.050443207,3.165463521,0.837802625,Diseased
1.600529669,1.933062798,-0.499177865,Diseased
0.937805182,-0.299309957,-1.741318834,Diseased
1.717394366,-0.510406027,0.736013414,Diseased
2.969958849,0.808713998,1.336743614,Healthy
2.754437751,0.474729975,2.548627058,Healthy
-1.096326903,0.406704219,-0.871499481,Healthy
0.081119607,-0.843065251,-1.714924608,Diseased
-0.250550576,-1.122980765,-1.150354775,Diseased
-0.921549791,2.754513216,0.115379258,Healthy
2.162040524,5.052308869,-4.514591371,Diseased
-2.030430591,-1.347132162,-1.315908598,Diseased
-0.410634761,1.875565873,0.396801207,Healthy
-2.26717517,2.616553592,-1.170638618,Healthy
-0.716951809,-0.27106708,-1.795352384,Diseased
0.893283399,2.446167821,-1.649756373,Healthy
-0.972182587,-3.691735397,-1.71079713,Diseased
3.715695148,0.5188273,1.608357679,Diseased
0.141101575,1.894360123,-1.729542825,Diseased
0.441600487,3.164790082,-1.737284092,Diseased
1.219805241,0.769272379,1.005493322,Healthy
-0.502576533,2.43435397,-2.882536958,Diseased
-1.470347033,2.233125453,1.602750417,Healthy
0.917309492,0.680220505,-0.801495338,Diseased
-2.49765665,0.102449836,-0.46807482,Diseased
3.285178092,-0.407367307,0.982922648,Healthy
-0.604707849,-0.89567149,0.29217419,Diseased
-2.979747779,-0.734754899,0.063788724,Diseased
-0.471238898,-1.083304025,-0.955077258,Diseased
3.328927535,-0.543075757,1.000221594,Healthy
2.300845999,0.863715127,-1.069511219,Diseased
0.668873322,0.103564673,0.417593075,Diseased
-0.131772918,0.041014182,0.011929979,Healthy
-1.258799316,-0.018080036,-0.512264638,Diseased
0.711611007,0.30592857,-2.721768139,Diseased
-2.41356445,1.871961251,-3.616596583,Healthy
2.148856241,1.245206715,0.670246395,Healthy
2.282618128,0.442323529,1.056259329,Healthy
-1.493321038,2.757089009,0.783654853,Healthy
0.123184332,2.147503934,0.373009088,Healthy
1.051469668,0.576382786,-1.24070348,Diseased
-0.963086663,1.35879127,1.302485826,Healthy
-0.584009402,0.16415207,0.282428745,Diseased
4.995900267,-1.469421424,1.911328913,Healthy
-0.026302122,-1.756943605,-2.501367414,Diseased
-0.491716743,0.659626112,-2.153146311,Diseased
0.202071818,0.688156494,-2.790881074,Diseased
0.343549143,-0.426235131,-2.900377228,Diseased
-2.462511409,2.907465054,0.996730203,Healthy
-4.634382438,-1.13697331,1.206365844,Diseased
1.924398956,0.260765311,0.565082249,Diseased
-0.03579673,-4.505769557,-2.753289395,Diseased
4.179143227,2.532469414,-2.305380071,Diseased
1.125212389,2.607892466,-1.8800228,Healthy
-1.435288474,-1.53885058,-1.539332002,Diseased
0.131808787,1.709672494,0.710131203,Healthy
-0.53749295,1.16865774,0.81587114,Healthy
1.76102933,0.958632449,1.912253674,Healthy
-0.639209094,1.150685303,-2.063576983,Diseased
-1.811601531,0.887285624,-2.302693963,Healthy
-2.523524448,1.8570661,0.524595764,Diseased
0.262453285,0.978024978,-0.248473646,Diseased
-4.257163403,0.046183147,0.749433308,Diseased
-1.641860865,-2.579218043,-0.172618474,Diseased
1.497681898,3.145958758,-1.346346409,Diseased
1.362799562,-0.81640042,0.681102619,Healthy
0.857113581,1.382846601,-3.495904235,Diseased
2.600208026,2.979170366,-1.618605766,Diseased
0.902196175,0.969714965,-2.67882896,Diseased
0.301364107,1.041571202,-0.705460341,Healthy
0.813460833,0.732088994,1.233236549,Healthy
0.886515323,0.343938958,1.637910182,Healthy
-1.577320454,0.063008988,-1.482620253,Healthy
0.138213102,0.812533309,0.314445394,Healthy
-1.3502433,0.437395672,1.343808395,Healthy
0.671486942,-0.408316998,-1.605741979,Diseased
-1.035745152,-0.521331747,-2.293866129,Diseased
-0.414691094,-0.188825148,-0.890343384,Healthy
-3.860705732,-0.079142844,0.925634017,Diseased
-0.471580444,-1.504041423,0.108450267,Diseased
-1.514041871,0.923167214,-2.233315408,Diseased
0.953968696,0.395367719,-1.01065648,Diseased
1.637575238,-0.913119214,-1.116557068,Diseased
2.06163043,1.489874249,0.789312494,Diseased
-2.097761991,1.957469437,-2.477382372,Diseased
1.153552728,-0.622295008,-2.73755318,Diseased
-2.746450274,1.536334802,-2.300268287,Healthy
2.819802818,0.304129961,0.351338971,Diseased
1.90809642,-1.189984095,-1.431338063,Diseased
-2.29059514,-0.791997303,-0.25333356,Diseased
-1.201346189,0.739159848,-0.654388919,Healthy
2.114275595,0.61323279,0.041660596,Diseased
2.246723256,2.169363699,1.490054283,Healthy
-2.187140411,2.688106325,-1.641951626,Diseased
0.905690188,-1.235872758,0.015723494,Healthy
2.163251932,-1.747373648,-0.223387334,Healthy
-0.293833767,0.150771174,-1.774101031,Diseased
-0.457613285,1.445144525,-1.646163392,Healthy
2.469135212,-0.065668966,1.40585982,Healthy
